URL_LENGTH,TLD,STATE,REGDATE,ZIPCODE,CITY,CONTENT_ENCODING,CONTENT_TYPE,CLASS
43,1,1,0,1,1,0,1,1
34,1,1,0,0,0,0,2,1
21,4,1,0,1,1,1,2,1
25,4,0,1,1,1,1,1,1
40,4,1,0,0,0,1,1,1
37,1,1,0,0,0,0,1,1
38,1,1,0,0,0,0,1,1
72,1,1,0,0,0,0,2,1
60,1,1,0,0,0,0,2,1
85,1,1,0,0,0,0,2,1
83,4,1,0,1,1,0,3,1
83,4,1,0,1,1,0,3,1
83,4,1,0,1,1,0,1,1
38,1,0,0,0,0,0,3,1
75,2,1,0,0,0,0,3,1
51,4,0,0,1,1,0,1,1
42,1,0,0,1,1,0,2,1
57,4,0,0,1,1,0,1,1
56,1,1,0,0,0,0,1,1
65,1,1,0,0,0,0,1,1
31,1,1,1,0,0,0,3,1
40,1,1,1,0,0,0,3,1
68,1,1,0,0,0,0,2,1
38,1,0,0,1,1,0,1,1
55,1,1,0,0,0,1,1,1
72,1,1,0,0,0,0,2,1
72,1,1,0,0,0,0,2,1
61,1,1,0,0,0,0,2,1
60,1,1,0,0,0,1,2,1
70,1,1,0,0,0,0,2,1
21,4,1,0,1,1,1,2,1
77,1,1,0,0,0,0,1,1
25,2,0,0,0,0,0,2,1
24,3,1,0,0,0,1,1,1
149,2,1,0,0,0,1,3,1
37,1,1,0,1,1,1,1,1
36,1,1,0,1,1,1,1,1
56,1,1,1,1,1,0,1,1
44,1,0,0,0,0,0,2,1
43,1,0,0,0,0,0,2,1
205,1,0,0,1,1,0,3,1
25,2,0,1,0,0,1,1,1
60,4,0,0,0,0,1,1,1
49,4,0,0,0,0,1,1,1
64,4,0,0,0,0,1,1,1
36,4,0,0,0,0,1,1,1
57,4,0,0,1,1,0,1,1
28,1,1,0,0,0,0,3,1
27,1,1,0,0,0,0,3,1
61,4,0,1,0,0,1,1,1
61,1,1,1,0,0,1,1,1
22,4,1,0,1,1,1,2,1
21,4,1,0,1,1,1,2,1
49,1,1,0,0,0,0,1,1
50,4,0,0,0,0,0,3,1
59,4,0,0,0,0,0,3,1
48,1,1,0,0,0,0,1,1
61,4,0,1,0,0,1,2,1
38,4,0,0,0,0,0,3,1
40,1,1,0,0,0,1,1,1
66,1,1,1,0,0,0,2,1
116,1,1,0,0,0,0,1,1
75,1,0,0,0,0,1,1,1
41,4,0,0,0,0,0,1,1
35,4,0,0,0,0,0,3,1
34,4,0,0,0,0,0,3,1
35,4,0,0,0,0,0,3,1
34,4,0,0,0,0,0,3,1
49,1,1,0,0,0,0,3,1
35,1,0,0,0,0,0,1,1
22,4,1,0,1,1,1,2,1
22,4,1,0,1,1,1,2,1
21,4,1,0,1,1,1,2,1
52,1,1,0,0,0,0,1,1
51,1,1,0,0,0,1,1,1
49,1,1,0,0,0,0,1,1
43,4,0,1,0,0,0,3,1
42,4,0,1,0,0,0,3,1
19,4,0,0,1,1,1,1,1
19,4,0,0,1,1,1,1,1
71,1,1,0,0,0,1,1,1
62,1,1,0,0,0,1,1,1
61,1,1,0,0,0,1,1,1
48,1,1,0,0,0,0,1,1
42,1,1,0,0,0,1,1,1
41,1,1,0,0,0,1,1,1
48,1,1,0,0,0,0,1,1
48,3,1,0,0,0,0,3,1
47,3,1,0,0,0,0,3,1
47,1,1,0,0,0,0,2,1
54,1,1,0,0,0,1,1,1
51,4,0,0,0,0,1,1,1
46,1,1,0,1,1,0,3,1
47,1,0,0,0,0,0,2,1
70,1,1,0,1,1,0,2,1
47,1,1,0,0,0,0,2,1
48,1,1,0,0,0,0,2,1
53,1,1,0,0,0,1,1,1
31,4,1,0,0,0,0,2,1
30,4,1,0,0,0,0,2,1
78,1,1,0,0,0,1,2,1
21,4,1,0,0,0,0,1,1
46,4,0,0,0,0,1,1,1
61,4,0,0,0,0,0,3,1
60,4,0,0,0,0,0,3,1
31,4,1,0,0,0,0,2,1
54,3,1,0,0,0,0,3,1
33,1,1,1,1,1,1,1,1
27,4,1,0,0,0,0,2,1
90,1,0,1,0,0,0,2,1
90,1,0,1,0,0,0,2,1
53,1,0,0,0,0,0,3,1
52,1,0,0,0,0,0,3,1
38,1,1,0,1,1,0,3,1
42,1,1,0,1,1,0,2,1
104,1,1,0,0,0,0,3,1
38,4,1,1,0,0,0,3,1
50,1,1,1,0,0,0,2,1
87,1,1,0,0,0,0,1,1
50,1,1,0,0,0,0,2,1
38,1,1,0,0,0,1,3,1
50,1,1,0,0,0,0,2,1
38,1,1,0,0,0,1,3,1
64,1,1,0,0,0,1,1,1
164,4,0,0,0,1,0,3,1
53,1,1,0,0,0,0,1,1
117,1,1,0,0,0,1,1,1
146,4,0,0,0,1,0,3,1
46,4,0,0,0,1,0,3,1
119,4,0,0,0,1,0,3,1
163,4,0,0,0,1,0,3,1
53,1,1,0,0,0,0,1,1
52,1,1,0,0,0,0,1,1
87,1,1,0,0,0,1,1,1
53,1,1,0,0,0,0,1,1
39,1,0,0,0,0,1,1,1
30,1,0,0,0,0,1,1,1
29,1,0,0,0,0,1,1,1
62,1,1,0,0,0,0,1,1
71,1,1,0,0,0,1,1,1
36,1,1,0,1,1,1,1,1
83,1,1,0,0,0,0,1,1
92,1,1,0,0,0,0,1,1
81,1,1,0,0,0,0,1,1
93,1,0,0,1,1,0,3,1
66,4,0,0,0,0,0,2,1
42,1,1,1,0,0,1,1,1
135,3,1,0,0,0,1,1,1
44,1,1,0,0,0,0,1,1
45,1,1,0,1,1,1,2,1
49,4,0,1,0,0,1,1,1
56,4,0,0,1,1,1,3,1
30,4,1,0,0,0,0,1,1
70,1,1,0,0,0,1,1,1
69,1,1,0,0,0,1,1,1
203,1,1,0,0,0,0,2,1
38,4,1,0,0,0,0,3,1
73,1,1,0,0,0,0,3,1
72,1,1,0,0,0,0,3,1
30,4,1,0,0,0,0,2,1
37,1,1,0,0,0,0,1,1
38,1,1,0,0,0,0,1,1
67,1,1,0,0,0,0,3,1
54,4,0,0,0,0,0,2,1
34,1,1,0,0,0,0,1,1
88,3,0,0,1,1,1,3,1
34,1,1,0,1,1,1,1,1
48,1,0,0,1,1,0,3,1
112,4,1,1,0,0,0,1,1
42,1,1,0,0,0,0,2,1
38,1,0,0,0,0,1,1,1
31,4,1,0,0,0,0,3,1
34,4,1,0,0,0,0,3,1
42,1,1,0,0,0,0,2,1
52,3,1,1,0,0,0,2,1
47,4,1,1,0,0,0,2,1
63,1,1,0,0,0,0,2,1
88,2,1,0,1,1,1,1,1
86,4,1,0,0,0,0,3,1
75,1,1,0,0,0,1,2,1
285,1,1,0,0,0,1,2,1
69,2,1,0,1,1,1,1,1
54,4,0,0,1,1,0,1,1
86,4,1,0,0,0,0,3,1
89,2,1,0,1,1,0,1,1
86,4,1,0,0,0,0,3,1
29,1,1,1,1,1,1,1,1
78,4,1,0,0,0,0,3,1
86,4,1,0,0,0,0,3,1
61,1,0,0,0,0,1,1,1
65,4,0,0,1,1,0,2,1
117,1,1,0,0,0,1,1,1
71,4,1,1,0,0,1,1,1
37,1,0,0,0,0,0,4,1
86,1,1,1,1,1,1,2,1
87,1,1,1,1,1,1,2,1
62,4,1,0,0,0,1,1,1
97,1,1,1,1,1,1,2,1
72,1,1,1,1,1,1,2,1
48,3,0,0,0,0,1,1,1
61,1,1,0,0,0,0,2,1
70,1,1,0,0,0,0,3,1
70,4,1,0,0,0,0,1,1
36,1,1,0,1,1,0,2,1
36,1,1,0,1,1,0,2,1
96,1,0,0,1,1,0,3,1
52,1,1,0,0,0,0,3,1
152,1,1,0,0,0,0,3,1
51,1,1,0,0,0,0,3,1
42,1,1,0,0,0,1,2,1
27,1,1,1,0,0,0,3,1
66,1,0,0,0,0,1,1,1
62,4,1,0,0,0,1,1,1
62,1,1,0,0,0,0,1,1
28,1,1,0,1,1,0,2,1
87,4,1,0,0,0,0,3,1
30,1,0,0,0,0,1,1,1
87,4,1,0,0,0,0,3,1
45,1,1,0,0,0,0,3,1
63,4,0,0,0,0,0,2,1
39,1,0,0,0,0,1,1,1
49,1,1,0,0,0,0,3,1
44,4,0,0,0,0,1,2,1
45,4,0,0,0,0,1,2,1
70,1,1,0,0,0,0,3,1
56,4,0,0,0,0,1,1,1
69,1,1,0,0,0,0,3,1
60,1,0,1,0,0,1,1,1
60,1,0,1,0,0,1,1,1
44,1,1,1,0,0,0,3,1
50,1,1,0,0,0,0,3,1
48,1,1,1,0,0,0,3,1
40,1,1,1,0,0,0,3,1
43,1,1,1,0,0,0,3,1
61,1,1,0,1,1,1,1,1
60,1,1,0,1,1,1,1,1
54,4,1,0,0,0,0,2,1
115,1,1,0,0,0,0,1,1
39,4,0,0,1,1,1,1,1
57,1,1,0,0,0,0,3,1
69,4,0,0,0,0,1,1,1
36,4,0,0,0,0,1,1,1
56,1,1,0,0,0,0,3,1
109,1,1,0,0,0,0,3,1
35,4,0,0,0,0,0,2,1
60,1,1,0,0,0,0,1,1
35,4,1,0,1,1,1,2,1
77,1,1,0,0,0,1,1,1
46,1,1,0,0,0,0,2,1
34,4,1,1,0,0,1,2,1
44,1,1,1,0,0,0,3,1
46,1,1,0,0,0,0,3,1
52,1,1,0,0,0,0,1,1
61,4,1,0,0,0,0,1,1
110,1,1,0,0,0,0,1,1
37,1,1,1,0,0,1,1,1
33,1,0,0,0,0,0,3,1
54,4,1,1,1,1,1,1,1
31,1,1,0,0,0,1,1,1
27,1,1,0,0,0,0,1,1
40,1,1,0,0,0,1,1,1
37,3,0,0,0,0,1,1,1
63,4,0,1,0,0,1,1,1
50,4,0,0,0,0,1,1,1
57,4,0,0,0,0,1,1,1
59,4,0,0,0,0,1,1,1
59,4,0,0,0,0,1,1,1
54,4,0,0,0,0,1,1,1
53,4,1,0,1,1,0,1,1
52,1,1,0,0,0,0,2,1
49,1,0,0,0,0,1,2,1
48,4,0,0,1,1,1,1,1
40,4,0,0,1,1,0,1,1
58,4,1,1,0,0,0,1,1
30,1,1,1,1,1,1,1,1
56,4,0,0,0,0,0,1,1
33,4,0,0,0,0,0,3,1
66,4,1,1,0,0,0,3,1
70,1,0,0,0,0,1,2,1
51,1,1,0,1,1,1,1,1
54,1,1,0,1,1,0,2,1
50,1,1,0,1,1,1,1,1
64,4,1,0,0,0,0,3,1
45,1,1,0,0,0,1,1,1
76,1,1,0,0,0,1,1,1
54,1,1,0,0,0,1,1,1
46,1,1,0,0,0,0,3,1
54,1,1,1,0,0,0,1,1
39,1,1,0,1,1,0,3,1
120,1,1,1,0,0,0,2,1
88,1,1,0,0,0,1,1,1
87,1,1,0,0,0,1,1,1
37,1,0,1,0,0,0,1,1
36,1,0,1,0,0,0,1,1
27,3,0,0,0,0,0,3,1
88,1,1,0,0,0,1,1,1
87,1,1,0,0,0,1,1,1
50,1,1,0,0,0,1,1,1
40,4,0,0,0,0,0,1,1
49,1,1,0,0,0,0,1,1
71,1,1,0,0,0,0,2,1
88,1,1,0,0,0,1,1,1
87,1,1,0,0,0,1,1,1
36,4,0,0,0,0,0,2,1
61,1,1,0,0,0,0,3,1
36,4,0,0,0,0,0,2,1
35,4,0,0,0,0,0,2,1
47,4,0,0,0,0,0,3,1
64,4,0,1,0,0,1,1,1
67,4,0,1,0,0,1,1,1
68,4,0,1,0,0,1,1,1
62,1,1,0,0,0,0,3,1
36,4,0,0,0,0,0,3,1
51,1,1,0,0,0,1,1,1
50,1,1,0,0,0,1,1,1
57,1,1,1,1,1,1,1,1
73,1,1,0,0,0,1,2,1
52,1,1,0,0,0,0,3,1
45,4,0,0,0,0,0,3,1
52,4,0,0,0,0,0,3,1
57,4,0,0,0,0,0,3,1
46,4,0,0,0,0,0,3,1
31,1,1,0,0,0,0,3,1
71,4,1,0,1,1,0,3,1
29,1,1,0,0,0,0,3,1
104,4,1,0,1,1,0,3,1
70,4,1,0,1,1,0,3,1
45,1,1,0,0,0,0,1,1
104,4,1,0,1,1,1,2,1
57,4,0,0,0,1,1,3,1
76,4,1,0,0,0,1,1,1
85,1,1,0,0,0,0,3,1
30,1,1,0,0,0,0,3,1
50,1,1,0,0,0,0,3,1
113,2,1,0,0,0,0,3,1
114,2,1,0,0,0,0,3,1
33,4,1,0,0,0,0,2,1
52,4,0,0,0,0,0,1,1
51,4,0,0,0,0,0,1,1
19,4,1,0,0,0,1,1,1
51,1,1,0,0,0,0,3,1
50,4,0,0,0,0,0,1,1
40,4,0,0,0,0,0,1,1
24,4,0,0,0,0,0,1,1
46,1,1,0,1,1,0,1,1
45,1,1,0,1,1,0,1,1
49,4,1,0,0,0,1,1,1
48,1,0,0,0,0,1,2,1
41,4,0,1,0,0,1,1,1
105,1,1,1,1,1,1,1,1
51,1,1,0,0,0,0,3,1
50,1,1,0,0,0,0,3,1
60,2,1,0,0,0,0,3,1
59,2,1,0,0,0,0,3,1
108,4,0,0,0,0,1,2,1
34,4,1,0,0,0,0,2,1
28,1,1,0,0,0,0,3,1
39,1,0,0,0,0,1,1,1
38,1,0,0,0,0,1,1,1
34,4,1,0,0,0,0,2,1
33,4,1,0,0,0,0,2,1
38,4,1,0,0,0,0,2,1
72,4,1,0,1,1,1,2,1
40,1,1,1,0,0,0,3,1
46,1,0,0,0,0,1,1,1
46,1,0,0,0,0,1,1,1
37,4,1,0,0,0,0,2,1
37,4,1,0,0,0,0,2,1
40,4,1,0,0,0,0,1,1
39,4,1,0,0,0,0,1,1
58,1,1,0,0,0,0,1,1
69,2,0,0,0,0,0,3,1
50,1,0,0,0,0,1,1,1
29,1,0,0,0,0,1,1,1
28,1,0,0,0,0,1,1,1
71,4,0,0,0,0,0,3,1
27,1,1,0,0,0,0,3,1
47,1,1,1,1,1,1,1,1
53,4,0,1,0,0,1,1,1
44,1,1,0,0,0,0,2,1
54,4,1,1,0,0,0,3,1
41,4,0,0,1,1,0,1,1
40,4,0,0,1,1,0,1,1
57,4,0,1,0,0,1,2,1
67,4,0,1,0,0,1,2,1
40,1,1,0,0,0,0,1,1
39,1,0,0,0,0,1,1,1
48,1,0,0,0,0,1,1,1
93,4,1,0,1,1,1,2,1
93,4,1,0,1,1,1,2,1
38,1,1,0,1,1,0,3,1
41,4,0,0,1,1,0,1,1
48,1,0,0,0,0,1,1,1
103,4,1,0,1,1,1,2,1
104,4,1,0,1,1,1,2,1
38,4,1,0,0,0,0,3,1
81,1,1,0,0,0,1,1,1
70,1,0,0,0,0,1,1,1
59,1,0,0,0,0,1,1,1
46,1,1,0,0,0,0,2,1
51,1,1,0,0,0,0,2,1
44,1,1,0,0,0,0,2,1
32,1,1,0,1,1,0,3,1
45,1,1,0,0,0,0,2,1
44,1,1,0,0,0,0,2,1
45,1,1,0,0,0,0,2,1
57,4,0,0,0,0,0,1,1
17,4,0,1,1,1,1,1,1
36,4,0,1,0,0,1,1,1
73,1,1,0,0,0,1,2,1
74,1,1,0,0,0,1,2,1
73,1,1,0,0,0,1,2,1
74,1,1,0,0,0,1,2,1
41,4,0,1,0,0,1,1,1
37,1,1,0,0,0,1,2,1
44,1,0,1,1,1,1,1,1
71,4,0,1,1,1,0,1,1
71,4,0,1,1,1,0,1,1
39,4,0,1,0,0,1,1,1
34,4,0,0,0,0,0,3,1
17,4,0,1,1,1,1,1,1
73,1,1,0,0,0,1,1,1
50,1,1,0,0,0,0,3,1
50,1,1,0,0,0,0,3,1
74,1,1,0,0,0,1,2,1
44,1,1,1,0,0,1,1,1
61,4,0,1,0,0,1,1,1
21,4,1,0,1,1,1,2,1
69,1,1,0,1,1,0,3,1
47,1,1,0,0,0,0,2,1
48,1,1,0,0,0,1,1,1
65,1,1,0,0,0,1,2,1
59,1,1,0,1,1,1,1,1
50,1,1,0,0,0,0,2,1
21,4,1,0,1,1,1,2,1
46,1,1,1,1,1,1,1,1
39,1,1,0,1,1,0,3,1
62,1,1,0,0,0,0,3,1
62,1,1,0,0,0,0,3,1
106,4,0,0,0,0,0,3,1
61,1,1,0,0,0,0,3,1
24,2,1,1,0,0,0,3,1
23,2,1,1,0,0,0,3,1
44,1,1,0,0,0,1,1,1
58,4,0,0,1,1,0,3,1
21,4,1,0,1,1,1,2,1
45,1,1,1,0,0,1,2,1
43,1,1,1,0,0,1,2,1
46,1,1,0,0,0,0,3,1
38,4,0,1,0,0,1,1,1
55,1,1,0,0,0,0,2,1
54,1,1,0,0,0,0,2,1
47,1,1,0,0,0,0,2,1
47,1,1,0,0,0,0,2,1
46,1,1,0,0,0,0,2,1
89,4,0,0,0,0,0,3,1
50,4,0,0,1,1,1,3,1
50,4,0,0,1,1,1,3,1
38,1,1,0,1,1,0,3,1
47,1,1,0,1,1,0,3,1
66,1,1,0,0,0,0,3,1
31,1,1,0,0,0,1,1,1
34,1,1,0,1,1,0,6,1
42,1,1,0,0,0,0,2,1
49,1,1,0,0,0,1,2,1
39,1,1,0,0,0,1,2,1
40,1,1,0,0,0,0,1,1
40,1,1,0,0,0,1,2,1
32,1,1,0,0,0,1,3,1
21,4,1,0,0,0,0,1,1
38,1,1,0,0,0,0,2,1
60,1,0,0,0,0,1,1,1
47,1,1,0,0,0,0,2,1
43,1,1,0,0,0,1,1,1
45,1,1,0,0,0,0,2,1
67,1,1,0,0,0,0,3,1
66,1,1,0,0,0,0,3,1
67,1,1,0,0,0,0,3,1
45,1,1,0,0,0,0,2,1
44,1,1,0,0,0,0,2,1
70,1,0,0,1,1,1,1,1
52,1,1,0,0,0,0,2,1
52,1,1,0,0,0,0,2,1
51,1,1,0,0,0,0,2,1
22,4,0,0,0,0,1,3,1
29,1,1,1,0,0,1,1,1
82,1,0,0,0,0,1,1,1
82,1,0,0,0,0,1,1,1
70,1,0,0,0,0,1,1,1
67,1,0,0,0,0,1,1,1
71,1,0,0,0,0,1,1,1
85,1,0,0,0,0,1,1,1
43,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
39,1,1,0,0,0,0,2,1
43,1,1,0,0,0,0,2,1
42,1,1,0,0,0,0,2,1
39,1,1,0,0,0,0,2,1
56,1,1,0,0,0,0,2,1
56,1,1,0,0,0,0,2,1
94,4,1,0,1,1,1,2,1
61,4,1,0,1,1,1,2,1
28,4,0,0,1,1,0,2,1
94,4,1,0,1,1,1,2,1
58,4,0,0,0,0,1,1,1
35,1,1,0,0,0,0,3,1
61,1,1,0,0,0,0,3,1
50,1,1,0,1,1,0,2,1
250,1,1,0,1,1,0,2,1
44,4,0,1,0,0,1,1,1
30,1,1,0,1,1,0,1,1
38,4,1,0,1,1,1,1,1
65,1,1,0,1,1,0,2,1
255,1,1,0,1,1,0,2,1
86,4,1,0,0,0,0,3,1
34,1,0,0,0,0,1,4,1
240,1,1,0,1,1,0,2,1
31,1,1,0,1,1,0,1,1
31,1,0,0,0,0,1,4,1
30,1,0,0,0,0,1,4,1
30,1,0,0,0,0,1,4,1
83,1,1,0,0,0,0,2,1
42,1,0,0,1,1,0,3,1
59,4,0,0,0,0,1,1,1
44,1,1,0,0,0,1,1,1
35,1,0,0,0,0,1,4,1
55,1,1,1,0,0,0,3,1
49,1,1,0,0,0,0,2,1
39,4,1,0,0,0,1,1,1
43,1,0,0,1,1,0,3,1
46,1,1,0,0,0,0,1,1
84,1,1,0,0,0,0,2,1
84,1,1,0,0,0,0,2,1
83,1,1,0,0,0,0,2,1
43,1,1,1,0,0,1,1,1
48,1,1,1,0,0,1,1,1
43,4,1,0,0,0,1,2,1
39,4,1,0,0,0,0,3,1
39,1,0,1,1,1,0,1,1
38,1,0,1,1,1,0,1,1
49,4,1,0,0,0,0,3,1
51,1,1,0,0,0,0,2,1
46,1,1,0,0,0,0,3,1
32,1,1,0,1,1,0,3,1
58,4,0,0,0,0,1,1,1
54,1,1,0,0,0,0,2,1
54,1,1,0,0,0,0,2,1
36,1,1,0,0,0,0,3,1
58,4,0,0,0,0,0,1,1
31,1,1,0,0,0,0,1,1
51,4,0,0,0,0,1,1,1
39,1,1,0,0,0,0,2,1
19,4,0,0,1,1,1,1,1
19,4,0,0,1,1,1,1,1
39,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
50,4,0,0,0,0,1,1,1
21,4,1,0,1,1,1,2,1
41,4,0,0,1,1,0,1,1
37,1,1,0,1,1,0,2,1
67,1,0,0,0,1,0,3,1
80,4,0,0,1,1,0,1,1
40,1,1,0,1,1,0,2,1
37,1,1,0,1,1,0,2,1
36,1,0,1,0,1,1,1,1
46,4,0,0,1,1,1,2,1
58,4,0,0,0,0,1,1,1
58,4,0,0,0,0,0,1,1
47,4,0,0,1,1,1,2,1
43,1,1,0,0,0,0,3,1
33,1,1,0,0,0,0,1,1
60,1,1,0,0,0,0,3,1
59,1,1,0,0,0,0,3,1
60,1,1,0,0,0,0,3,1
59,1,1,0,0,0,0,3,1
43,2,0,0,0,0,1,1,1
104,1,1,0,0,0,1,2,1
30,4,0,0,0,0,0,3,1
41,1,1,0,0,0,0,1,1
33,1,1,0,1,1,0,3,1
55,4,0,0,1,1,0,1,1
33,1,1,0,1,1,0,3,1
74,4,0,0,0,0,1,3,1
60,1,1,0,0,0,0,2,1
60,1,1,0,0,0,0,2,1
39,1,1,0,1,1,0,3,1
54,1,1,0,0,0,0,2,1
45,2,0,0,0,0,1,1,1
43,1,1,1,0,0,0,3,1
38,2,0,0,0,0,1,1,1
38,1,1,0,1,1,0,2,1
381,4,1,0,1,1,0,1,1
43,4,0,0,0,0,1,1,1
76,1,1,1,0,0,1,1,1
32,1,1,1,0,0,1,1,1
32,1,1,1,0,0,1,1,1
37,3,0,0,0,0,1,3,1
63,1,1,1,0,0,1,1,1
90,1,0,0,0,1,0,3,1
60,1,1,0,1,1,0,3,1
39,4,0,0,0,0,0,3,1
228,1,0,0,0,0,0,2,1
49,1,1,1,0,0,1,1,1
49,1,1,0,0,0,1,1,1
48,4,0,1,0,0,0,1,1
55,1,1,0,0,0,0,2,1
80,4,0,0,0,0,1,1,1
47,4,0,1,0,0,0,1,1
28,4,1,0,0,0,1,2,1
122,3,1,0,0,0,1,1,1
35,1,1,0,0,0,1,1,1
42,1,1,1,1,1,1,1,1
77,4,1,0,0,0,0,3,1
108,4,0,0,0,0,0,3,1
108,4,0,0,0,0,0,3,1
22,4,0,1,0,0,1,1,1
30,1,0,1,0,0,1,3,1
53,1,1,0,0,0,1,1,1
54,4,0,0,0,0,0,3,1
53,4,0,0,0,0,0,3,1
139,1,0,0,1,1,0,1,1
90,4,0,0,0,0,0,2,1
38,1,0,0,0,0,0,3,1
54,4,0,0,0,0,1,1,1
49,1,1,0,0,0,0,3,1
27,1,1,0,0,0,0,1,1
26,1,1,0,0,0,0,1,1
44,1,1,1,0,0,1,1,1
24,1,0,0,0,1,0,1,1
23,1,0,0,0,1,0,1,1
39,1,1,0,0,0,0,3,1
31,1,0,1,0,0,1,3,1
36,1,1,0,0,0,0,1,1
60,4,0,0,0,0,0,1,1
43,4,0,0,0,0,1,1,1
54,2,0,0,0,0,1,1,1
64,1,1,0,0,0,0,1,1
71,4,0,0,1,1,0,3,1
72,1,1,0,0,0,1,1,1
49,1,1,1,1,1,1,1,1
31,4,0,0,0,0,1,1,1
71,1,0,0,0,0,1,1,1
46,1,1,0,0,0,0,3,1
34,1,1,0,0,0,0,2,1
35,1,1,0,0,0,0,2,1
31,1,1,0,0,0,0,2,1
30,1,1,0,0,0,0,2,1
65,1,0,0,0,0,0,1,1
56,1,1,0,0,0,0,2,1
56,4,1,0,0,0,0,3,1
26,4,0,0,0,0,1,2,1
25,4,0,0,0,0,1,2,1
44,1,1,0,0,0,1,1,1
43,2,0,0,0,0,1,1,1
42,2,0,0,0,0,1,1,1
52,2,0,0,0,0,1,1,1
50,4,1,1,0,0,1,1,1
52,4,1,1,0,0,1,1,1
51,4,1,1,0,0,1,1,1
51,3,0,0,0,0,0,2,1
32,1,1,0,0,0,0,1,1
35,1,1,1,1,1,1,1,1
45,2,0,0,0,0,1,1,1
44,2,0,0,0,0,1,1,1
46,1,1,0,0,0,0,1,1
52,2,0,0,0,0,1,1,1
38,4,0,0,0,0,0,3,1
75,1,1,0,0,0,0,2,1
55,4,1,0,0,0,0,3,1
41,3,1,1,0,0,1,2,1
69,3,1,0,0,0,1,2,1
71,4,0,0,0,0,0,3,1
56,1,1,0,0,0,0,2,1
60,1,1,0,0,0,0,3,1
66,1,1,0,0,0,0,2,1
62,4,1,0,0,0,1,1,1
72,1,0,0,0,0,1,1,1
72,1,0,0,0,0,1,1,1
64,4,0,0,1,1,1,1,1
48,1,1,0,0,0,0,2,1
270,1,1,0,0,0,0,2,1
43,4,0,0,0,0,0,2,1
52,4,0,0,0,0,0,1,1
52,4,1,1,0,0,0,3,1
45,1,0,0,1,1,0,1,1
25,1,1,0,0,0,1,1,1
142,3,0,0,0,0,1,1,1
65,2,1,0,1,1,1,1,1
78,1,1,0,0,0,0,3,1
77,1,1,0,0,0,0,3,1
37,1,1,0,1,1,0,2,1
56,4,0,0,1,1,0,2,1
51,1,1,0,0,0,1,2,1
49,1,1,0,0,0,1,1,1
73,1,1,1,0,0,0,3,1
56,1,1,1,0,0,0,3,1
164,4,0,1,1,1,1,1,1
56,4,1,0,0,0,0,1,1
40,4,0,0,0,0,0,2,1
80,4,0,1,1,1,1,1,1
97,4,0,0,0,0,1,1,1
87,1,0,0,0,0,1,1,1
54,4,0,0,1,1,0,2,1
42,4,0,0,1,1,0,2,1
47,4,0,0,1,1,0,2,1
58,4,0,1,0,0,1,1,1
59,4,0,1,0,0,1,1,1
48,1,1,0,0,0,0,3,1
49,1,1,0,0,0,0,3,1
59,4,0,0,0,0,1,2,1
86,4,1,1,0,0,1,1,1
58,1,1,0,0,0,0,3,1
56,1,1,0,0,0,0,2,1
64,4,0,1,0,0,0,1,1
44,1,1,0,0,0,0,1,1
30,4,1,1,0,0,1,1,1
86,1,0,1,0,0,1,1,1
